pl_name,rowid,pl_hostname,pl_letter,hd_name,hip_name,tic_id,gaia_id,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_refname,disc_pubdate,disc_locale,disc_facility,disc_telescope,disc_instrument,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_cmasse,pl_cmasseerr1,pl_cmasseerr2,pl_cmasselim,pl_cmassj,pl_cmassjerr1,pl_cmassjerr2,pl_cmassjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tsystemref,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rastr,ra,decstr,dec,raerr1,raerr2,decerr1,decerr2,glat,glaterr1,glaterr2,glon,glonerr1,glonerr2,elat,elaterr1,elaterr2,elon,elonerr1,elonerr2,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_umag,sy_umagerr1,sy_umagerr2,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_imag,sy_imagerr1,sy_imagerr2,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w4mag,sy_w4magerr1,sy_w4magerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,rowupdate,pl_pubdate,releasedate,pl_nnotes,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,,,,,,
DMPP-1 c,264,DMPP-1,c,HD 38677,HIP 27305,TIC 66560666,Gaia DR2 3011005587574818432,1,1,4,0,0,Radial Velocity,2019,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,2019-12,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,6.584,0.003,-0.002,0,0.0733,0.0006,-0.0007,0,,,,,,,,,,,,,,,,,9.6,0.53,-1.58,0,0.0302,0.00167,-0.00497,0,,,,,,,,,9.6,0.53,-1.58,0,0.0302,0.00167,-0.00497,0,Msini,,,,,0.057,,,1,,,,,1239,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.884,0.16,-0.47,0,,,,,,,,,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,F8 V,6196,29,-29,0,1.26,0.02,-0.02,0,1.21,0.03,-0.03,0,,,,,,,,,,4.41,0.21,-0.21,0,2.01,0.54,-0.54,0,,,,,3.41,0.24,-0.24,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217,0.0438842,-0.0438842,0.0449502,-0.0449502,-19.05298,,,215.3585,,,-34.02673,,,86.17601,,,21.4467413,0.0907248,-0.0907248,2.72749,0.0977691,-0.0977691,-21.2726,0.0906044,-0.0906044,62.5388,0.17775,-0.17775,15.9613,0.0451071,-0.0451071,8.538,0,0,7.98,0.03,-0.03,7.001,0.024,-0.024,6.746,0.036,-0.036,6.69,0.024,-0.024,,,,,,,,,,,,,,,,6.655,0.074,-0.074,6.652,0.021,-0.021,6.698,0.016,-0.016,6.563,0.06,-0.06,7.85032,0.00029,-0.00029,,,,7.4742,0.006,-0.006,,,,2020-01-23 10:03:10,2019-12,2020-01-30,1,1,0,0,0,0,,,,,,
DMPP-1 d,265,DMPP-1,d,HD 38677,HIP 27305,TIC 66560666,Gaia DR2 3011005587574818432,1,1,4,0,0,Radial Velocity,2019,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,2019-12,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,2.882,0.001,-0.001,0,0.0422,0.0004,-0.0003,0,,,,,,,,,,,,,,,,,3.35,0.38,-0.34,0,0.01054,0.0012,-0.00107,0,,,,,,,,,3.35,0.38,-0.34,0,0.01054,0.0012,-0.00107,0,Msini,,,,,0.07,,,1,,,,,1632,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.326,0.149,-0.13,0,,,,,,,,,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,F8 V,6196,29,-29,0,1.26,0.02,-0.02,0,1.21,0.03,-0.03,0,,,,,,,,,,4.41,0.21,-0.21,0,2.01,0.54,-0.54,0,,,,,3.41,0.24,-0.24,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217,0.0438842,-0.0438842,0.0449502,-0.0449502,-19.05298,,,215.3585,,,-34.02673,,,86.17601,,,21.4467413,0.0907248,-0.0907248,2.72749,0.0977691,-0.0977691,-21.2726,0.0906044,-0.0906044,62.5388,0.17775,-0.17775,15.9613,0.0451071,-0.0451071,8.538,0,0,7.98,0.03,-0.03,7.001,0.024,-0.024,6.746,0.036,-0.036,6.69,0.024,-0.024,,,,,,,,,,,,,,,,6.655,0.074,-0.074,6.652,0.021,-0.021,6.698,0.016,-0.016,6.563,0.06,-0.06,7.85032,0.00029,-0.00029,,,,7.4742,0.006,-0.006,,,,2020-01-23 10:03:11,2019-12,2020-01-30,1,1,0,0,0,0,,,,,,
DMPP-1 e,266,DMPP-1,e,HD 38677,HIP 27305,TIC 66560666,Gaia DR2 3011005587574818432,1,1,4,0,0,Radial Velocity,2019,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,2019-12,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,5.516,0.002,-0.004,0,0.0651,0.0005,-0.0005,0,,,,,,,,,,,,,,,,,4.13,0.66,-1.14,0,0.01299,0.00208,-0.00359,0,,,,,,,,,4.13,0.66,-1.14,0,0.01299,0.00208,-0.00359,0,Msini,,,,,0.07,,,1,,,,,1314,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.316,0.206,-0.358,0,,,,,,,,,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,F8 V,6196,29,-29,0,1.26,0.02,-0.02,0,1.21,0.03,-0.03,0,,,,,,,,,,4.41,0.21,-0.21,0,2.01,0.54,-0.54,0,,,,,3.41,0.24,-0.24,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217,0.0438842,-0.0438842,0.0449502,-0.0449502,-19.05298,,,215.3585,,,-34.02673,,,86.17601,,,21.4467413,0.0907248,-0.0907248,2.72749,0.0977691,-0.0977691,-21.2726,0.0906044,-0.0906044,62.5388,0.17775,-0.17775,15.9613,0.0451071,-0.0451071,8.538,0,0,7.98,0.03,-0.03,7.001,0.024,-0.024,6.746,0.036,-0.036,6.69,0.024,-0.024,,,,,,,,,,,,,,,,6.655,0.074,-0.074,6.652,0.021,-0.021,6.698,0.016,-0.016,6.563,0.06,-0.06,7.85032,0.00029,-0.00029,,,,7.4742,0.006,-0.006,,,,2020-01-23 10:03:12,2019-12,2020-01-30,1,1,0,0,0,0,,,,,,
GJ 1061 b,350,GJ 1061,b,,,TIC 79611981,Gaia DR2 4848140361962951552,1,1,3,0,0,Radial Velocity,2020,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,2020-03,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,3.204,0.001,-0.001,0,0.021,0.001,-0.001,0,,,,,,,,,,,,,,,,,1.37,0.16,-0.15,0,0.00431,0.0005,-0.00047,0,,,,,,,,,1.37,0.16,-0.15,0,0.00431,0.0005,-0.00047,0,Msini,,,,,0.31,,,1,3.8,0.7,-0.7,0,,,,,,,,,,,,,BJD,0,,,,,,,,,,,,,,,,,,,,,,,,,2458300.61,0.56,-0.72,0,145,81,-65,0,2.43,0.24,-0.24,0,,,,,,,,,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,M5.5 V,2953,98,-98,0,0.16,0.01,-0.01,0,0.12,0.01,-0.01,0,-0.08,0.08,-0.08,0,[Fe/H],-2.77,0.025,-0.026,0,,,,,7,0.5,-0.5,-1,,,,,2.5,,,1,,,,,1.06,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h36m00.78s,54.0032486,-44d30m51.52s,-44.5143104,0.054812,-0.054812,0.0581363,-0.0581363,-52.90489,,,251.8698,,,-60.77312,,,30.85594,,,833.7162183,0.1220404,-0.1220404,745.286,0.11762,-0.11762,-373.673,0.138232,-0.138232,3.67278,0.000895,-0.000895,272.245,0.0660788,-0.0660788,,,,12.7,0.2,-0.2,7.523,0.02,-0.02,7.015,0.044,-0.044,6.61,0.021,-0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9889,0.000945,-0.000945,,,,9.47068,0.0075428,-0.0075428,,,,2020-02-21 10:55:12,2020-03,2020-02-27,1,0,0,0,0,0,,,,,,
GJ 1061 c,351,GJ 1061,c,,,TIC 79611981,Gaia DR2 4848140361962951552,1,1,3,0,0,Radial Velocity,2020,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,2020-03,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,6.689,0.005,-0.005,0,0.035,0.001,-0.001,0,,,,,,,,,,,,,,,,,1.74,0.23,-0.23,0,0.00547,0.00072,-0.00072,0,,,,,,,,,1.74,0.23,-0.23,0,0.00547,0.00072,-0.00072,0,Msini,,,,,0.29,,,1,1.4,0.2,-0.2,0,,,,,,,,,,,,,BJD,0,,,,,,,,,,,,,,,,,,,,,,,,,2458300.2,1.9,-1.5,0,88,95,-85,0,2.48,0.28,-0.29,0,,,,,,,,,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,M5.5 V,2953,98,-98,0,0.16,0.01,-0.01,0,0.12,0.01,-0.01,0,-0.08,0.08,-0.08,0,[Fe/H],-2.77,0.025,-0.026,0,,,,,7,0.5,-0.5,-1,,,,,2.5,,,1,,,,,1.06,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h36m00.78s,54.0032486,-44d30m51.52s,-44.5143104,0.054812,-0.054812,0.0581363,-0.0581363,-52.90489,,,251.8698,,,-60.77312,,,30.85594,,,833.7162183,0.1220404,-0.1220404,745.286,0.11762,-0.11762,-373.673,0.138232,-0.138232,3.67278,0.000895,-0.000895,272.245,0.0660788,-0.0660788,,,,12.7,0.2,-0.2,7.523,0.02,-0.02,7.015,0.044,-0.044,6.61,0.021,-0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9889,0.000945,-0.000945,,,,9.47068,0.0075428,-0.0075428,,,,2020-02-21 10:55:13,2020-03,2020-02-27,1,0,0,0,0,0,,,,,,
GJ 1061 d,352,GJ 1061,d,,,TIC 79611981,Gaia DR2 4848140361962951552,1,1,3,0,0,Radial Velocity,2020,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,2020-03,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,13.031,0.025,-0.032,0,0.054,0.001,-0.001,0,,,,,,,,,,,,,,,,,1.64,0.24,-0.23,0,0.00516,0.00076,-0.00072,0,,,,,,,,,1.64,0.24,-0.23,0,0.00516,0.00076,-0.00072,0,Msini,,,,,0.53,,,1,0.6,0.1,-0.1,0,,,,,,,,,,,,,BJD,0,,,,,,,,,,,,,,,,,,,,,,,,,2458306.4,3.1,-2.5,0,157,88,-71,0,1.86,0.25,-0.25,0,,,,,,,,,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,M5.5 V,2953,98,-98,0,0.16,0.01,-0.01,0,0.12,0.01,-0.01,0,-0.08,0.08,-0.08,0,[Fe/H],-2.77,0.025,-0.026,0,,,,,7,0.5,-0.5,-1,,,,,2.5,,,1,,,,,1.06,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h36m00.78s,54.0032486,-44d30m51.52s,-44.5143104,0.054812,-0.054812,0.0581363,-0.0581363,-52.90489,,,251.8698,,,-60.77312,,,30.85594,,,833.7162183,0.1220404,-0.1220404,745.286,0.11762,-0.11762,-373.673,0.138232,-0.138232,3.67278,0.000895,-0.000895,272.245,0.0660788,-0.0660788,,,,12.7,0.2,-0.2,7.523,0.02,-0.02,7.015,0.044,-0.044,6.61,0.021,-0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9889,0.000945,-0.000945,,,,9.47068,0.0075428,-0.0075428,,,,2020-02-21 10:55:14,2020-03,2020-02-27,1,0,0,0,0,0,,,,,,
GJ 1132 c,357,GJ 1132,c,,,TIC 101955023,Gaia DR2 5413438219396893568,1,1,2,0,0,Radial Velocity,2018,<a refstr=FENG_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.470.4794F/abstract target=ref>Feng et al. 2017</a>,2017-10,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=BONFILS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...618A.142B/abstract target=ref>Bonfils et al. 2018</a>,8.929,0.01,-0.01,0,0.0476,0.0017,-0.0017,0,,,,,,,,,,,,,,,,,2.64,0.44,-0.44,0,0.00831,0.00138,-0.00138,0,,,,,,,,,2.64,0.44,-0.44,0,0.00831,0.00138,-0.00138,0,Msini,,,,,0.27,,,1,,,,,300,5,-5,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,0.39,-0.39,0,,,,,,,,,<a refstr=BONFILS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...618A.142B/abstract target=ref>Bonfils et al. 2018</a>,,3270,140,-140,0,0.21,0.01,-0.01,0,0.18,0.02,-0.02,0,,,,,,-2.359,0.032,-0.035,0,,,,,,,,,,,,,,,,,122.3,6,-5,0,35.08,0,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h14m50.18s,153.7090696,-47d09m17.77s,-47.1549358,0.0334139,-0.0334139,0.0392354,-0.0392354,7.76021,,,277.2594,,,-52.41892,,,181.4455,,,1132.4832583,0.0750929,-0.0750929,-1053.98,0.0738738,-0.0738738,414.3,0.0825484,-0.0825484,12.613,0.007,-0.007,79.2543,0.0437672,-0.0437672,,,,13.68,0.2,-0.2,9.245,0.026,-0.026,8.666,0.031,-0.031,8.322,0.027,-0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.138,0.000387,-0.000387,,,,10.8372,0.0073203,-0.0073203,,,,2018-06-26 16:57:19,2018-10,2018-06-21,1,0,0,0,0,0,,,,,,
GJ 15 A b,381,GJ 15 A,b,HD 1326 A,HIP 1475,TIC 440109725,Gaia DR2 385334230892516480,0,2,2,0,0,Radial Velocity,2014,<a refstr=HOWARD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...794...51H/abstract target=ref>Howard et al. 2014</a>,2014-10,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,1,0,0,0,0,0,0,0,0,0,Published Confirmed,1,<a refstr=HOWARD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...794...51H/abstract target=ref>Howard et al. 2014</a>,11.4433,0.0016,-0.0016,0,0.0717,0.0034,-0.0034,0,,,,,,,,,,,,,,,,,5.35,0.75,-0.75,0,0.01683,0.00236,-0.00236,0,,,,,,,,,5.35,0.75,-0.75,0,0.01683,0.00236,-0.00236,0,Msini,,,,,0,,,0,,,,,550,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94,0.28,-0.28,0,,,,,,,,,<a refstr=HOWARD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...794...51H/abstract target=ref>Howard et al. 2014</a>,M2 V,3567,11,-11,0,0.39,0,0,0,0.38,0.06,-0.06,0,-0.32,0.17,-0.17,0,[Fe/H],-1.663,0.004,-0.004,0,4.9,0.17,-0.17,0,,,,,,,,,1.45,0.6,-0.6,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h18m27.04s,4.6126677,+44d01m29.03s,44.0247296,0.0338948,-0.0338948,0.023345,-0.023345,-18.44695,,,116.6769,,,37.92904,,,24.67503,,,2920.710871,0.0607014,-0.0607014,2891.52,0.0611275,-0.0611275,411.903,0.0335658,-0.0335658,3.56228,0.00055,-0.00055,280.69,0.042903,-0.042903,9.616,0.024,-0.024,8.09,0.1,-0.1,5.252,0.264,-0.264,4.476,0.2,-0.2,4.018,0.02,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2162,0.000507,-0.000507,,,,6.229,0.032,-0.032,,,,2019-10-02 14:19:07,2014-10,2019-10-10,4,1,0,5,0,0,,,,,,
GJ 15 A b,382,GJ 15 A,b,HD 1326 A,HIP 1475,TIC 440109725,Gaia DR2 385334230892516480,1,2,2,0,0,Radial Velocity,2014,<a refstr=HOWARD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...794...51H/abstract target=ref>Howard et al. 2014</a>,2014-10,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,1,0,0,0,0,0,0,0,0,0,Published Confirmed,1,<a refstr=PINAMONTI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...617A.104P/abstract target=ref>Pinamonti et al. 2018</a>,11.4407,0.0017,-0.0016,0,0.072,0.003,-0.004,0,,,,,,,,,,,,,,,,,3.03,0.46,-0.44,0,0.00953,0.00145,-0.00138,0,,,,,,,,,3.03,0.46,-0.44,0,0.00953,0.00145,-0.00138,0,Msini,,,,,0.094,0.091,-0.065,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,49,-74,0,1.68,0.17,-0.18,0,,,,,,,,,<a refstr=PINAMONTI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...617A.104P/abstract target=ref>Pinamonti et al. 2018</a>,M1,3607,68,-68,0,0.38,0.05,-0.05,0,0.38,0.05,-0.05,0,-0.34,0.09,-0.09,0,[Fe/H],-1.655,0.112,-0.112,0,4.87,0.04,-0.04,0,,,,,,,,,1.09,0.79,-0.79,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h18m27.04s,4.6126677,+44d01m29.03s,44.0247296,0.0338948,-0.0338948,0.023345,-0.023345,-18.44695,,,116.6769,,,37.92904,,,24.67503,,,2920.710871,0.0607014,-0.0607014,2891.52,0.0611275,-0.0611275,411.903,0.0335658,-0.0335658,3.56228,0.00055,-0.00055,280.69,0.042903,-0.042903,9.616,0.024,-0.024,8.09,0.1,-0.1,5.252,0.264,-0.264,4.476,0.2,-0.2,4.018,0.02,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2162,0.000507,-0.000507,,,,6.229,0.032,-0.032,,,,2019-10-02 14:19:07,2018-09,2019-10-10,4,1,0,5,0,0,,,,,,
GJ 163 b,385,GJ 163,b,,HIP 19394,TIC 219221189,Gaia DR2 4780294722094459904,1,1,3,0,0,Radial Velocity,2013,<a refstr=BONFILS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.110B/abstract target=ref> Bonfils et al. 2013 </a>,2013-08,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=BONFILS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.110B/abstract target=ref> Bonfils et al. 2013 </a>,8.63182,0.00155,-0.00155,0,0.0607,1E-05,-1E-05,0,,,,,,,,,,,,,,,,,10.6,0.6,-0.6,0,0.03335,0.00189,-0.00189,0,,,,,,,,,10.6,0.6,-0.6,0,0.03335,0.00189,-0.00189,0,Msini,,,,,0.073,0.05,-0.05,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2455042.553,0.01,-0.01,0,70.7,54.6,-54.6,0,6.13,0.33,-0.33,0,,,,,,,,,<a refstr=BONFILS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.110B/abstract target=ref> Bonfils et al. 2013 </a>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.6,0,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h09m17.48s,62.3228353,-53d22m16.24s,-53.3711768,0.029159,-0.029159,0.0324035,-0.0324035,-45.32366,,,262.7818,,,-71.16685,,,30.83568,,,1198.1722566,0.0650636,-0.0650636,1046.14,0.0635731,-0.0635731,584.13,0.0696292,-0.0696292,15.1285,0.0072,-0.0072,66.0714,0.0314011,-0.0314011,,,,11.79,0.1,-0.1,7.948,0.026,-0.026,7.428,0.04,-0.04,7.135,0.021,-0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6771,0.000792,-0.000792,,,,9.47061,0.0073415,-0.0073415,,,,2017-01-24 21:18:09,2013-08,2017-01-26,0,1,0,0,0,0,,,,,,
